date,event,violent_or_natural,cause,deaths_per_day,estimated_over_average_estimated_deaths_that_day,daily_average_deaths,estimated_total_deaths_annually,estimated_mortality_rate_for_year,estimated_total_population,source_links
06/04/1864,Cold Harbor,violent,War,1333,471.5391233,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/05/1864,Cold Harbor,violent,War,1333,471.5391233,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/06/1864,Cold Harbor,violent,War,1333,471.5391233,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/07/1864,Cold Harbor,violent,War,1333,471.5391233,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/08/1864,Cold Harbor,violent,War,1333,471.5391233,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/09/1864,Cold Harbor,violent,War,1333,471.5391233,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/10/1864,Cold Harbor,violent,War,1333,471.5391233,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/11/1864,Cold Harbor,violent,War,1333,471.5391233,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/12/1864,Cold Harbor,violent,War,1333,471.5391233,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/15/1864,2nd Petersburg,violent,War,3846,2984.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/16/1864,2nd Petersburg,violent,War,3846,2984.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/17/1864,2nd Petersburg,violent,War,3846,2984.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/18/1864,2nd Petersburg,violent,War,3846,2984.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/27/1862,Gaines's Mill,violent,War,14830,13968.53912,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
11/25/1863,Missionary Ridge,violent,War,12491,11629.53912,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
07/22/1864,Atlanta,violent,War,12140,11278.53912,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
05/31/1862,Seven Pines,violent,War,5582,4720.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
